"ABA","ABA 脱落酸" 
"cypovirus","cypovirus 质型多角体病毒属[归于呼肠孤病毒科]"
"cyst","cyst 孢囊
又称“胞囊”。"
"cyst","cyst 孢囊，胞囊"
"cystamine","cystamine 胱胺"
"cystathionase","cystathionase 胱胺醚酶"
"cystathionine","cystathionine 胱硫醚"
"cystatin","cystatin 半胱氨酸蛋白酶抑制剂，抑半胱氨酸蛋白酶蛋白[来自血清、肝脏和鸡蛋，分为A、"
"cysteamine","cysteamine 半胱胺"
"cysteic acid","cysteic acid 半胱磺酸，磺基丙氨酸"
"cysteine","cysteine 半胱氨酸"
"cysteine dioxygenase","cysteine dioxygenase 半胱氨酸双加氧酶"
"cysteine protease","cysteine protease 半胱氨酸蛋白酶"
"cystic fibrosis","cystic fibrosis 囊性纤维化"
"cystic fibrosis transmembrane conductance regulator","cystic fibrosis transmembrane conductance regulator 囊性纤维化跨膜传导调节蛋白[与囊性纤维化有关的氯离子通道蛋白]"
"cystine","cystine 胱氨酸"
"cytidine","cytidine 胞嘧啶核苷，胞苷"
"cytidine diphosphate","cytidine diphosphate 胞苷二磷酸"
"cytidine triphosphate","cytidine triphosphate 胞苷三磷酸"
"cytidylate","cytidylate 胞苷酸；胞苷酸盐、酯、根"
"cytidylic acid","cytidylic acid 胞苷酸"
"cytoadherence","cytoadherence 细胞粘连"
"cytochalasin","cytochalasin 细胞松弛素[例如细胞松弛素B]"
"cytochemistry","cytochemistry 细胞化学"
"cytochemistry","cytochemistry 细胞化学"
"cytochimera","cytochimera 细胞(异源)嵌合体"
"cytochrome","cytochrome 细胞色素[包括细胞色素b/c/f/p等]"
"cytochrome c oxidase","cytochrome c oxidase 细胞色素c氧化酶"
"cytocidal","cytocidal 杀细胞（性）的"
"cytocidal infection","cytocidal infection 杀细胞感染"
"cytoclasis","cytoclasis 细胞解体"
"cytoclasis","cytoclasis 细胞解体"
"cytodynamics","cytodynamics 细胞动力学"
"cytofectin","cytofectin 细胞转染剂[如Lipofectin等]"
"cytogamy","cytogamy 胞质配合"
"cytogene","cytogene 胞质基因"
"cytogenetics","cytogenetics 细胞遗传学"
"cytogenetics","cell genetics
cytogenetics
cell genetics 细胞遗传学"
"cytokerain","cytokerain 细胞角蛋白"
"cytokeratin","cytokeratin 细胞角蛋白"
"cytokine","cytokine 细胞因子"
"cytokine","cytokine 细胞因子"
"cytokine network","cytokine network 细胞因子网络"
"cytokinesis","cytokinesis 胞质分裂"
"cytokinesis","plasmodieresis
cytokinesis
plasmodieresis 胞质分裂"
"cytokine therapy","cytokine therapy 细胞因子治疗"
"cytokinetics","cyto-dynamics
cytokinetics
cyto-dynamics 细胞动力学"
"cytokinin","cytokinin 细胞激动素[见于植物]；细胞分裂素"
"cytokinin","cytokinin 细胞分裂素
又称“细胞激动素”、见于植物。"
"cytological map","cytological map 细胞学图"
"cytology","cytology 细胞学"
"cytology","cytology 细胞学"
"cytolysin","cytolysin 溶细胞素，细胞溶素"
"cytolysin","cytolysin 溶细胞素"
"cytolysis","cytolysis 细胞溶解"
"cytolysis","cytolysis 细胞溶解"
"cytolytic infection","cytolytic infection 溶细胞感染"
"cytolytic molecule","cytolytic molecule 溶细胞分子[如穿孔素、丝氨酸酯酶等]"
"cytomegalovirus","cytomegalovirus 巨细胞病毒"
"cytometer","cytometer (血）细胞计数器"
"cytometry","cytometry 细胞计量术，细胞计数"
"cytometry","cytometry 细胞计量术"
"cytomixis","cytomixis 细胞混合"
"cytomixis","cytomixis 细胞混合"
"cytomycin","cytomycin 胞霉素"
"cytopathic effect","cytopathic effect （致）细胞病变（效应）"
"cytopenia","cytopenia 细胞减少（症）"
"cytopharynx","cytopharynx 胞咽
见于原生动物。"
"cytopharynx","cytopharynx 胞咽"
"cytophotometry","cytophotometry 细胞光度术"
"cytophotometry","cytophotometry 细胞光度术"
"cytoplasm","cytoplasm （细）胞质"
"cytoplasm","cytoplasm [细]胞质"
"cytoplasmic bridge","cytoplasmic bridge [细]胞质桥"
"cytoplasmic bridge","cytoplasmic bridge （细）胞质桥"
"cytoplasmic hybrid","cytoplasmic hybrid 胞质杂种"
"cytoplasmic inheritance","cytoplasmic inheritance （细）胞质遗传"
"cytoplasmic localization","cytoplasmic localization 胞质定位"
"cytoplasmic male sterilty","cytoplasmic male sterilty （细）胞质雄性不育"
"cytoplasmic movement","cytoplasmic movement 胞质运动"
"cytoplasmic movement","cytoplasmic movement 胞质运动"
"cytoplasmic mutation","cytoplasmic mutation （细）胞质突变"
"cytoplasmic plaque","cytoplasmic plaque 胞质斑[如见于平滑肌]"
"cytoplasmic polyhedrosis virus","cytoplasmic polyhedrosis virus 质型多角体病毒[属于呼肠孤病毒科]"
"cytoplasmic region","cytoplasmic region 胞质区[如指跨膜蛋白的胞内区]"
"cytoplasmic streaming","cytoplasmic streaming 胞质环流"
"cytoplasmic tail","cytoplasmic tail 胞质尾区[如指跨膜蛋白的胞内小区]"
"cytoplasm IgM","cytoplasm IgM 胞质IgM，胞质免疫球蛋白M"
"cytoplast","cytosome
cytoplast
cytosome 胞质体"
"cytoplast","cytoplast 胞质体"
"cytoproct","cytopyge
cytoproct
cytopyge 胞肛
见于原生动物。"
"cytorheology","cytorheology 细胞流变学"
"cytosine","cytosine 胞嘧啶"
"cytosine arabinoside","cytosine arabinoside 阿糖胞苷"
"cytosis","cytosis 细胞增多症"
"cytoskeletal protein","cytoskeletal protein 细胞骨架蛋白（质）"
"cytoskeletal structure","cytoskeletal structure 细胞骨架结构"
"cytoskeleton","cytoskeleton 细胞骨架"
"cytoskeleton","cytoskeleton 细胞骨架"
"cytoskeleton system","cytoskeleton system 细胞骨架系统"
"cytosol","cytosol 胞质溶胶"
"cytosol","cytosol 胞质溶胶"
"cytosolic localization","cytosolic localization 胞质定位"
"cytosolic space","cytosolic space 胞质腔"
"cytosol receptor","cytosol receptor 胞质受体"
"cytosome","cytosome 胞质体"
"cytostatic factor","cytostatic factor 细胞静止因子"
"cytostatic factor","cytostatic factor 细胞静止因子"
"cytostome","cytostome 胞口
见于原生动物。"
"cytotactin","cytotactin 腱生蛋白"
"cytotoxic","cytotoxic 细胞毒的"
"cytotoxicity","cytotoxicity 细胞毒性"
"cytotoxic T cell","cytotoxic T cell 细胞毒性T细胞"
"cytotoxic T cell","TC
cytotoxic T cell
TC 细胞毒性
T 细胞"
"cytotoxic T lymphocyte","cytotoxic T lymphocyte 细胞毒性T淋巴细胞"
"cytotoxin","cytotoxin 细胞毒素"
"cytotoxin","cytotoxin 细胞毒素"
"cytotropism","cytotropism 细胞向性"
"cytotropism","cytotropism 细胞向性"
"cytovillin","cytovillin 细胞绒毛蛋白[见于微绒毛，可作用于肌动蛋白丝]"
"dammarane","dammarane 达玛烷"
"dammarane type","dammarane type 达玛烷型"
"Dane particle","Dane particle 丹氏粒[乙型肝炎病毒的完整毒粒]"
"dansyl","dansyl 丹（磺）酰，1-二甲氨基萘-5-磺酰"
"dansyl chloride","dansyl chloride 丹磺酰氯"
"dansyl method","dansyl method 丹磺酰法"
"dantrolene","dantrolene 硝苯呋海因[肌肉松弛剂]"
"dark current","dark current 暗电流"
"dark field","dark field 暗视野，暗视场"
"dark field microscope","dark field microscope 暗视野显微镜，暗视场显微镜"
"darkfield microscope","darkfield microscope 暗视场显微镜"
"dark field microscopy","dark field microscopy 暗视野显微术，暗视场显微术"
"dark reaction","dark reaction 暗反应"
"dark repair","dark repair 暗修复"
"dark respiration","dark respiration 暗呼吸"
"dark room","dark room 暗室，暗房"
"dark seed","dark seed 需暗种子"
"data accumulation","data accumulation 数据积累"
"data acquisition","data acquisition 数据获取"
"data analysis","data analysis 数据分析"
"data bank","data bank 数据库"
"data base","data base 数据库"
"data handling","data handling 数据处理"
"data logger","data logger 数据记录器"
"data logging","data logging 数据记录"
"data output","data output 数据输出"
"data processing","data processing 数据处理"
"data recording","data recording 数据记录"
"dauermodification","dauermodification 持续饰变"
"daughter cell","daughter cell 子代细胞"
"daughter chromatid","daughter chromatid 子染色单体"
"daughter chromosome","daughter chromosome 子染色体"
"daughter colony","daughter colony 子菌落[由原生菌落续发生长的小菌落]"
"daunomycin","daunomycin 道诺霉素"
"daunorubicin","daunorubicin 道诺红菌素"
"deactivation","deactivation 去活化（作用），失活（作用），钝化"
"deacylated tRNA","deacylated tRNA 脱酰tRNA"
"deadenylation","deadenylation 脱腺苷化"
"dead time","dead time 死时间"
"dead volume","dead volume 死体积"
"DEAE Sephacel","DEAE Sephacel [商]DEAE-葡聚糖纤维素，二乙氨乙基葡聚糖纤维素"
"dealkylation","dealkylation 脱烷基化"
"deaminase","deaminase 脱氨酶"
"deamination","deamination 脱氨（基）"
"death phase","death phase 死亡期[如见于细胞生长曲线]"
"death point","death point 死点"
"deblocking","deblocking 去封闭"
"debranching enzyme","debranching enzyme 脱支酶，支链淀粉酶"
"debris","debris 碎片，残渣"
"decahedron","decahedron 十面体"
"decane","decane 癸烷"
"decantation","decantation 倾析"
"decanting","decanting 倾析"
"decapacitation","decapacitation 去（获）能"
"decarboxylase","decarboxylase 脱羧酶"
"decarboxylation","decarboxylation 脱羧（作用）"
"decay","decay 原因不明腐败"
"decay accelerating factor","decay accelerating factor 衰变加速因子"
"decay constant","decay constant 衰变常数"
"deceleration phase","deceleration phase 减速期[如见于细胞生长曲线]"
"dechlorination","dechlorination 脱氯作用"
"deciduous leaf","deciduous leaf 落叶"
"decline phase","decline phase [细胞生长曲线的]衰亡期"
"decoagulant","decoagulant 抗凝剂"
"decoding","decoding 译码，解码"
"decomposer","decomposer 分解者[可指具有分解动植物残体或其排泄物能力的微生物]"
"decompression","decompression 降压，减压"
"decondensation","decondensation 解凝（聚）"
"decontaminant","decontaminant 净化剂，去污剂"
"decontaminating agent","decontaminating agent 净化剂，去污剂"
"decontamination","decontamination 净化，去污"
"decorin","decorin 核心蛋白聚糖[一种基质蛋白聚糖，又称为PG-40]"
"dedifferentiation","dedifferentiation 去分化，脱分化"
"dedifferentiation","dedifferentiation 去分化
又称“脱分化” 。"
"deep colony","deep colony 深层菌落"
"deep etching","deep etching 深度蚀刻"
